Distributed training: False
Set random seed to 0
**********************Start training**********************
epoch[1][540/1856]: lr: 0.000301, aux_loss_cls: 0.040187, aux_loss_reg: 0.269687, rpn_loc_loss: 0.872855, rpn_cls_loss: 0.373494, rpn_dir_loss: 0.132455, loss_cls: 0.215024, loss: 1.903702
epoch[1][560/1856]: lr: 0.000301, aux_loss_cls: 0.036997, aux_loss_reg: 0.247086, rpn_loc_loss: 0.882486, rpn_cls_loss: 0.360946, rpn_dir_loss: 0.135880, loss_cls: 0.212116, loss: 1.875511
epoch[1][580/1856]: lr: 0.000301, aux_loss_cls: 0.038156, aux_loss_reg: 0.263400, rpn_loc_loss: 0.920003, rpn_cls_loss: 0.369016, rpn_dir_loss: 0.133280, loss_cls: 0.218660, loss: 1.942515
epoch[1][600/1856]: lr: 0.000301, aux_loss_cls: 0.041501, aux_loss_reg: 0.274845, rpn_loc_loss: 0.894144, rpn_cls_loss: 0.370457, rpn_dir_loss: 0.136078, loss_cls: 0.204868, loss: 1.921893
epoch[1][620/1856]: lr: 0.000301, aux_loss_cls: 0.035817, aux_loss_reg: 0.253367, rpn_loc_loss: 0.839719, rpn_cls_loss: 0.358721, rpn_dir_loss: 0.133143, loss_cls: 0.210214, loss: 1.830981
epoch[1][640/1856]: lr: 0.000301, aux_loss_cls: 0.040519, aux_loss_reg: 0.244417, rpn_loc_loss: 0.799415, rpn_cls_loss: 0.332595, rpn_dir_loss: 0.134617, loss_cls: 0.195029, loss: 1.746592
epoch[1][660/1856]: lr: 0.000301, aux_loss_cls: 0.038577, aux_loss_reg: 0.257677, rpn_loc_loss: 0.806457, rpn_cls_loss: 0.323416, rpn_dir_loss: 0.134161, loss_cls: 0.188800, loss: 1.749089
epoch[1][680/1856]: lr: 0.000301, aux_loss_cls: 0.037401, aux_loss_reg: 0.235484, rpn_loc_loss: 0.819221, rpn_cls_loss: 0.321956, rpn_dir_loss: 0.135176, loss_cls: 0.193542, loss: 1.742780
epoch[1][700/1856]: lr: 0.000301, aux_loss_cls: 0.033653, aux_loss_reg: 0.213175, rpn_loc_loss: 0.823948, rpn_cls_loss: 0.329553, rpn_dir_loss: 0.132612, loss_cls: 0.190441, loss: 1.723382
epoch[1][720/1856]: lr: 0.000301, aux_loss_cls: 0.034881, aux_loss_reg: 0.230159, rpn_loc_loss: 0.815912, rpn_cls_loss: 0.314557, rpn_dir_loss: 0.133618, loss_cls: 0.190483, loss: 1.719610
epoch[1][740/1856]: lr: 0.000301, aux_loss_cls: 0.033461, aux_loss_reg: 0.222911, rpn_loc_loss: 0.813687, rpn_cls_loss: 0.320278, rpn_dir_loss: 0.132719, loss_cls: 0.189966, loss: 1.713023
epoch[1][760/1856]: lr: 0.000301, aux_loss_cls: 0.033096, aux_loss_reg: 0.214761, rpn_loc_loss: 0.816614, rpn_cls_loss: 0.313046, rpn_dir_loss: 0.132688, loss_cls: 0.191988, loss: 1.702193
epoch[1][780/1856]: lr: 0.000301, aux_loss_cls: 0.033385, aux_loss_reg: 0.230601, rpn_loc_loss: 0.801941, rpn_cls_loss: 0.298478, rpn_dir_loss: 0.133743, loss_cls: 0.178432, loss: 1.676581
epoch[1][800/1856]: lr: 0.000301, aux_loss_cls: 0.034128, aux_loss_reg: 0.219736, rpn_loc_loss: 0.774395, rpn_cls_loss: 0.295345, rpn_dir_loss: 0.132809, loss_cls: 0.180882, loss: 1.637295
epoch[1][820/1856]: lr: 0.000301, aux_loss_cls: 0.031150, aux_loss_reg: 0.222383, rpn_loc_loss: 0.771943, rpn_cls_loss: 0.295694, rpn_dir_loss: 0.132664, loss_cls: 0.173578, loss: 1.627411
epoch[1][840/1856]: lr: 0.000301, aux_loss_cls: 0.031252, aux_loss_reg: 0.224187, rpn_loc_loss: 0.743133, rpn_cls_loss: 0.298758, rpn_dir_loss: 0.129993, loss_cls: 0.173732, loss: 1.601055
epoch[1][860/1856]: lr: 0.000301, aux_loss_cls: 0.031529, aux_loss_reg: 0.236626, rpn_loc_loss: 0.795239, rpn_cls_loss: 0.288250, rpn_dir_loss: 0.130262, loss_cls: 0.178466, loss: 1.660371
epoch[1][880/1856]: lr: 0.000301, aux_loss_cls: 0.029950, aux_loss_reg: 0.225514, rpn_loc_loss: 0.749440, rpn_cls_loss: 0.298844, rpn_dir_loss: 0.133512, loss_cls: 0.169070, loss: 1.606330
epoch[1][900/1856]: lr: 0.000302, aux_loss_cls: 0.033334, aux_loss_reg: 0.227334, rpn_loc_loss: 0.760024, rpn_cls_loss: 0.295584, rpn_dir_loss: 0.127992, loss_cls: 0.165913, loss: 1.610180
epoch[1][920/1856]: lr: 0.000302, aux_loss_cls: 0.033673, aux_loss_reg: 0.233870, rpn_loc_loss: 0.757185, rpn_cls_loss: 0.287127, rpn_dir_loss: 0.127542, loss_cls: 0.160740, loss: 1.600137
epoch[1][940/1856]: lr: 0.000302, aux_loss_cls: 0.027401, aux_loss_reg: 0.215032, rpn_loc_loss: 0.737392, rpn_cls_loss: 0.285021, rpn_dir_loss: 0.131189, loss_cls: 0.175302, loss: 1.571338
epoch[1][960/1856]: lr: 0.000302, aux_loss_cls: 0.032068, aux_loss_reg: 0.213708, rpn_loc_loss: 0.747265, rpn_cls_loss: 0.278904, rpn_dir_loss: 0.129572, loss_cls: 0.157782, loss: 1.559298
epoch[1][980/1856]: lr: 0.000302, aux_loss_cls: 0.026991, aux_loss_reg: 0.196187, rpn_loc_loss: 0.734714, rpn_cls_loss: 0.285851, rpn_dir_loss: 0.128645, loss_cls: 0.157474, loss: 1.529862
epoch[1][1000/1856]: lr: 0.000302, aux_loss_cls: 0.030643, aux_loss_reg: 0.222735, rpn_loc_loss: 0.750206, rpn_cls_loss: 0.281151, rpn_dir_loss: 0.131755, loss_cls: 0.167290, loss: 1.583781
epoch[1][1020/1856]: lr: 0.000302, aux_loss_cls: 0.031512, aux_loss_reg: 0.217662, rpn_loc_loss: 0.769247, rpn_cls_loss: 0.288983, rpn_dir_loss: 0.127042, loss_cls: 0.162271, loss: 1.596717
epoch[1][1040/1856]: lr: 0.000302, aux_loss_cls: 0.032526, aux_loss_reg: 0.206187, rpn_loc_loss: 0.745507, rpn_cls_loss: 0.273307, rpn_dir_loss: 0.127233, loss_cls: 0.158223, loss: 1.542983
epoch[1][1060/1856]: lr: 0.000302, aux_loss_cls: 0.030529, aux_loss_reg: 0.209325, rpn_loc_loss: 0.757470, rpn_cls_loss: 0.283977, rpn_dir_loss: 0.126528, loss_cls: 0.168994, loss: 1.576824
epoch[1][1080/1856]: lr: 0.000302, aux_loss_cls: 0.030885, aux_loss_reg: 0.206613, rpn_loc_loss: 0.717440, rpn_cls_loss: 0.266286, rpn_dir_loss: 0.128312, loss_cls: 0.162258, loss: 1.511794
epoch[1][1100/1856]: lr: 0.000302, aux_loss_cls: 0.031225, aux_loss_reg: 0.222673, rpn_loc_loss: 0.749211, rpn_cls_loss: 0.275368, rpn_dir_loss: 0.126880, loss_cls: 0.159160, loss: 1.564517
epoch[1][1120/1856]: lr: 0.000302, aux_loss_cls: 0.027861, aux_loss_reg: 0.201626, rpn_loc_loss: 0.777552, rpn_cls_loss: 0.273694, rpn_dir_loss: 0.127311, loss_cls: 0.155515, loss: 1.563559
epoch[1][1140/1856]: lr: 0.000302, aux_loss_cls: 0.029834, aux_loss_reg: 0.197032, rpn_loc_loss: 0.781733, rpn_cls_loss: 0.272665, rpn_dir_loss: 0.129124, loss_cls: 0.155854, loss: 1.566243
epoch[1][1160/1856]: lr: 0.000303, aux_loss_cls: 0.027810, aux_loss_reg: 0.187797, rpn_loc_loss: 0.703951, rpn_cls_loss: 0.253579, rpn_dir_loss: 0.128809, loss_cls: 0.160099, loss: 1.462046
epoch[1][1180/1856]: lr: 0.000303, aux_loss_cls: 0.027906, aux_loss_reg: 0.193580, rpn_loc_loss: 0.718993, rpn_cls_loss: 0.263978, rpn_dir_loss: 0.126356, loss_cls: 0.155412, loss: 1.486225
epoch[1][1200/1856]: lr: 0.000303, aux_loss_cls: 0.028897, aux_loss_reg: 0.198168, rpn_loc_loss: 0.723418, rpn_cls_loss: 0.264526, rpn_dir_loss: 0.121680, loss_cls: 0.155743, loss: 1.492433
epoch[1][1220/1856]: lr: 0.000303, aux_loss_cls: 0.027864, aux_loss_reg: 0.188768, rpn_loc_loss: 0.748666, rpn_cls_loss: 0.254658, rpn_dir_loss: 0.120722, loss_cls: 0.151616, loss: 1.492294
epoch[1][1240/1856]: lr: 0.000303, aux_loss_cls: 0.027008, aux_loss_reg: 0.183202, rpn_loc_loss: 0.714400, rpn_cls_loss: 0.252923, rpn_dir_loss: 0.120708, loss_cls: 0.146938, loss: 1.445179
epoch[1][1260/1856]: lr: 0.000303, aux_loss_cls: 0.024006, aux_loss_reg: 0.191613, rpn_loc_loss: 0.657334, rpn_cls_loss: 0.250717, rpn_dir_loss: 0.121268, loss_cls: 0.141037, loss: 1.385974
epoch[1][1280/1856]: lr: 0.000303, aux_loss_cls: 0.030020, aux_loss_reg: 0.200310, rpn_loc_loss: 0.725094, rpn_cls_loss: 0.258960, rpn_dir_loss: 0.123364, loss_cls: 0.150350, loss: 1.488097
epoch[1][1300/1856]: lr: 0.000303, aux_loss_cls: 0.027112, aux_loss_reg: 0.181463, rpn_loc_loss: 0.705702, rpn_cls_loss: 0.255490, rpn_dir_loss: 0.122190, loss_cls: 0.144969, loss: 1.436926
epoch[1][1320/1856]: lr: 0.000303, aux_loss_cls: 0.029931, aux_loss_reg: 0.190025, rpn_loc_loss: 0.705435, rpn_cls_loss: 0.249922, rpn_dir_loss: 0.125067, loss_cls: 0.148222, loss: 1.448602
epoch[1][1340/1856]: lr: 0.000303, aux_loss_cls: 0.028717, aux_loss_reg: 0.187433, rpn_loc_loss: 0.676285, rpn_cls_loss: 0.240982, rpn_dir_loss: 0.119683, loss_cls: 0.142680, loss: 1.395779
epoch[1][1360/1856]: lr: 0.000303, aux_loss_cls: 0.030828, aux_loss_reg: 0.187158, rpn_loc_loss: 0.730190, rpn_cls_loss: 0.251501, rpn_dir_loss: 0.120495, loss_cls: 0.148294, loss: 1.468465
epoch[1][1380/1856]: lr: 0.000304, aux_loss_cls: 0.026581, aux_loss_reg: 0.176149, rpn_loc_loss: 0.727269, rpn_cls_loss: 0.241923, rpn_dir_loss: 0.121113, loss_cls: 0.140888, loss: 1.433922
epoch[1][1400/1856]: lr: 0.000304, aux_loss_cls: 0.029685, aux_loss_reg: 0.207063, rpn_loc_loss: 0.701889, rpn_cls_loss: 0.251178, rpn_dir_loss: 0.119874, loss_cls: 0.139511, loss: 1.449201
epoch[1][1420/1856]: lr: 0.000304, aux_loss_cls: 0.025664, aux_loss_reg: 0.174420, rpn_loc_loss: 0.674091, rpn_cls_loss: 0.244028, rpn_dir_loss: 0.115578, loss_cls: 0.135923, loss: 1.369705
epoch[1][1440/1856]: lr: 0.000304, aux_loss_cls: 0.028616, aux_loss_reg: 0.195220, rpn_loc_loss: 0.685889, rpn_cls_loss: 0.250781, rpn_dir_loss: 0.115784, loss_cls: 0.134425, loss: 1.410714
epoch[1][1460/1856]: lr: 0.000304, aux_loss_cls: 0.027482, aux_loss_reg: 0.179072, rpn_loc_loss: 0.650091, rpn_cls_loss: 0.245716, rpn_dir_loss: 0.112126, loss_cls: 0.142947, loss: 1.357435
epoch[1][1480/1856]: lr: 0.000304, aux_loss_cls: 0.030079, aux_loss_reg: 0.189792, rpn_loc_loss: 0.646451, rpn_cls_loss: 0.237350, rpn_dir_loss: 0.115364, loss_cls: 0.138304, loss: 1.357341
epoch[1][1500/1856]: lr: 0.000304, aux_loss_cls: 0.027078, aux_loss_reg: 0.189680, rpn_loc_loss: 0.631613, rpn_cls_loss: 0.222043, rpn_dir_loss: 0.114665, loss_cls: 0.132591, loss: 1.317670
