Distributed training: False
Set random seed to 0
**********************Start training**********************
epoch[1][20/1856]: lr: 0.000300, aux_loss_cls: 0.162848, aux_loss_reg: 0.774211, rpn_loc_loss: 4.938800, rpn_cls_loss: 30.263917, rpn_dir_loss: 0.150870, loss_cls: 39.152080, loss: 75.442724
epoch[1][40/1856]: lr: 0.000300, aux_loss_cls: 0.090411, aux_loss_reg: 0.634035, rpn_loc_loss: 1.859168, rpn_cls_loss: 0.963822, rpn_dir_loss: 0.141816, loss_cls: 6.750546, loss: 10.439798
epoch[1][60/1856]: lr: 0.000300, aux_loss_cls: 0.077822, aux_loss_reg: 0.526636, rpn_loc_loss: 1.646297, rpn_cls_loss: 0.707414, rpn_dir_loss: 0.138460, loss_cls: 1.818270, loss: 4.914898
epoch[1][80/1856]: lr: 0.000300, aux_loss_cls: 0.076214, aux_loss_reg: 0.497048, rpn_loc_loss: 1.599463, rpn_cls_loss: 0.668220, rpn_dir_loss: 0.139775, loss_cls: 1.257656, loss: 4.238376
epoch[1][100/1856]: lr: 0.000300, aux_loss_cls: 0.073948, aux_loss_reg: 0.447959, rpn_loc_loss: 1.328448, rpn_cls_loss: 0.626891, rpn_dir_loss: 0.140167, loss_cls: 0.609130, loss: 3.226544
epoch[1][120/1856]: lr: 0.000300, aux_loss_cls: 0.070137, aux_loss_reg: 0.429620, rpn_loc_loss: 1.361849, rpn_cls_loss: 0.621491, rpn_dir_loss: 0.137651, loss_cls: 0.704274, loss: 3.325022
epoch[1][140/1856]: lr: 0.000300, aux_loss_cls: 0.070251, aux_loss_reg: 0.437247, rpn_loc_loss: 1.326133, rpn_cls_loss: 0.611294, rpn_dir_loss: 0.138379, loss_cls: 0.414466, loss: 2.997770
epoch[1][160/1856]: lr: 0.000300, aux_loss_cls: 0.066356, aux_loss_reg: 0.420435, rpn_loc_loss: 1.191099, rpn_cls_loss: 0.595882, rpn_dir_loss: 0.135978, loss_cls: 0.411694, loss: 2.821445
epoch[1][180/1856]: lr: 0.000300, aux_loss_cls: 0.061023, aux_loss_reg: 0.410661, rpn_loc_loss: 1.159995, rpn_cls_loss: 0.561819, rpn_dir_loss: 0.138863, loss_cls: 0.406579, loss: 2.738941
epoch[1][200/1856]: lr: 0.000300, aux_loss_cls: 0.057504, aux_loss_reg: 0.350157, rpn_loc_loss: 1.147223, rpn_cls_loss: 0.574149, rpn_dir_loss: 0.137225, loss_cls: 0.353697, loss: 2.619954
epoch[1][220/1856]: lr: 0.000300, aux_loss_cls: 0.055816, aux_loss_reg: 0.410846, rpn_loc_loss: 1.195948, rpn_cls_loss: 0.568773, rpn_dir_loss: 0.137576, loss_cls: 0.314207, loss: 2.683166
epoch[1][240/1856]: lr: 0.000300, aux_loss_cls: 0.051363, aux_loss_reg: 0.388499, rpn_loc_loss: 1.083290, rpn_cls_loss: 0.539780, rpn_dir_loss: 0.138480, loss_cls: 0.320089, loss: 2.521500
epoch[1][260/1856]: lr: 0.000300, aux_loss_cls: 0.048931, aux_loss_reg: 0.346957, rpn_loc_loss: 1.047789, rpn_cls_loss: 0.522808, rpn_dir_loss: 0.135481, loss_cls: 0.290343, loss: 2.392309
epoch[1][280/1856]: lr: 0.000300, aux_loss_cls: 0.051441, aux_loss_reg: 0.354066, rpn_loc_loss: 1.077835, rpn_cls_loss: 0.507872, rpn_dir_loss: 0.138024, loss_cls: 0.264099, loss: 2.393337
epoch[1][300/1856]: lr: 0.000300, aux_loss_cls: 0.053351, aux_loss_reg: 0.341824, rpn_loc_loss: 1.058856, rpn_cls_loss: 0.489159, rpn_dir_loss: 0.133680, loss_cls: 0.276487, loss: 2.353355
epoch[1][320/1856]: lr: 0.000300, aux_loss_cls: 0.050669, aux_loss_reg: 0.323877, rpn_loc_loss: 0.989685, rpn_cls_loss: 0.477015, rpn_dir_loss: 0.135098, loss_cls: 0.263625, loss: 2.239968
epoch[1][340/1856]: lr: 0.000300, aux_loss_cls: 0.043446, aux_loss_reg: 0.294571, rpn_loc_loss: 0.944633, rpn_cls_loss: 0.466060, rpn_dir_loss: 0.135199, loss_cls: 0.251932, loss: 2.135842
epoch[1][360/1856]: lr: 0.000300, aux_loss_cls: 0.044151, aux_loss_reg: 0.309244, rpn_loc_loss: 0.965622, rpn_cls_loss: 0.451900, rpn_dir_loss: 0.135820, loss_cls: 0.255433, loss: 2.162170
epoch[1][380/1856]: lr: 0.000300, aux_loss_cls: 0.044684, aux_loss_reg: 0.281126, rpn_loc_loss: 0.912428, rpn_cls_loss: 0.443295, rpn_dir_loss: 0.136050, loss_cls: 0.251854, loss: 2.069438
epoch[1][400/1856]: lr: 0.000300, aux_loss_cls: 0.048897, aux_loss_reg: 0.298966, rpn_loc_loss: 0.936148, rpn_cls_loss: 0.428046, rpn_dir_loss: 0.132965, loss_cls: 0.240357, loss: 2.085379
epoch[1][420/1856]: lr: 0.000300, aux_loss_cls: 0.044101, aux_loss_reg: 0.276091, rpn_loc_loss: 0.961395, rpn_cls_loss: 0.434627, rpn_dir_loss: 0.134336, loss_cls: 0.247631, loss: 2.098180
epoch[1][440/1856]: lr: 0.000300, aux_loss_cls: 0.041689, aux_loss_reg: 0.299065, rpn_loc_loss: 0.940930, rpn_cls_loss: 0.408511, rpn_dir_loss: 0.138184, loss_cls: 0.234892, loss: 2.063271
epoch[1][460/1856]: lr: 0.000300, aux_loss_cls: 0.042011, aux_loss_reg: 0.291299, rpn_loc_loss: 0.937231, rpn_cls_loss: 0.403991, rpn_dir_loss: 0.136445, loss_cls: 0.229919, loss: 2.040895
epoch[1][480/1856]: lr: 0.000300, aux_loss_cls: 0.044711, aux_loss_reg: 0.286725, rpn_loc_loss: 0.981489, rpn_cls_loss: 0.405641, rpn_dir_loss: 0.131876, loss_cls: 0.227433, loss: 2.077876
epoch[1][500/1856]: lr: 0.000300, aux_loss_cls: 0.039989, aux_loss_reg: 0.301853, rpn_loc_loss: 0.918790, rpn_cls_loss: 0.405779, rpn_dir_loss: 0.134219, loss_cls: 0.226137, loss: 2.026767
epoch[1][520/1856]: lr: 0.000301, aux_loss_cls: 0.036385, aux_loss_reg: 0.263199, rpn_loc_loss: 0.875271, rpn_cls_loss: 0.372578, rpn_dir_loss: 0.135142, loss_cls: 0.207989, loss: 1.890564
epoch[1][540/1856]: lr: 0.000301, aux_loss_cls: 0.039877, aux_loss_reg: 0.262883, rpn_loc_loss: 0.863225, rpn_cls_loss: 0.372590, rpn_dir_loss: 0.132390, loss_cls: 0.207800, loss: 1.878765
epoch[1][560/1856]: lr: 0.000301, aux_loss_cls: 0.037125, aux_loss_reg: 0.244908, rpn_loc_loss: 0.864998, rpn_cls_loss: 0.356582, rpn_dir_loss: 0.134881, loss_cls: 0.207138, loss: 1.845632
epoch[1][580/1856]: lr: 0.000301, aux_loss_cls: 0.039551, aux_loss_reg: 0.259272, rpn_loc_loss: 0.892610, rpn_cls_loss: 0.359844, rpn_dir_loss: 0.133976, loss_cls: 0.210221, loss: 1.895474
epoch[1][600/1856]: lr: 0.000301, aux_loss_cls: 0.041240, aux_loss_reg: 0.254188, rpn_loc_loss: 0.904994, rpn_cls_loss: 0.364327, rpn_dir_loss: 0.135815, loss_cls: 0.204689, loss: 1.905253
epoch[1][620/1856]: lr: 0.000301, aux_loss_cls: 0.035140, aux_loss_reg: 0.243644, rpn_loc_loss: 0.846805, rpn_cls_loss: 0.357067, rpn_dir_loss: 0.133418, loss_cls: 0.206361, loss: 1.822433
epoch[1][640/1856]: lr: 0.000301, aux_loss_cls: 0.038113, aux_loss_reg: 0.250107, rpn_loc_loss: 0.818742, rpn_cls_loss: 0.331020, rpn_dir_loss: 0.135623, loss_cls: 0.202004, loss: 1.775609
epoch[1][660/1856]: lr: 0.000301, aux_loss_cls: 0.037245, aux_loss_reg: 0.255407, rpn_loc_loss: 0.812249, rpn_cls_loss: 0.324280, rpn_dir_loss: 0.134338, loss_cls: 0.187356, loss: 1.750876
