Distributed training: False
Set random seed to 0
**********************Start training**********************
epoch[1][20/1856]: lr: 0.000300, aux_loss_cls: 0.177017, aux_loss_reg: 0.751380, rpn_loc_loss: 4.848819, rpn_cls_loss: 30.731317, rpn_dir_loss: 0.151976, loss_cls: 39.617216, loss: 76.277726
epoch[1][40/1856]: lr: 0.000300, aux_loss_cls: 0.101530, aux_loss_reg: 0.649031, rpn_loc_loss: 1.932994, rpn_cls_loss: 1.058188, rpn_dir_loss: 0.142732, loss_cls: 7.188257, loss: 11.072732
epoch[1][60/1856]: lr: 0.000300, aux_loss_cls: 0.082463, aux_loss_reg: 0.532215, rpn_loc_loss: 1.688152, rpn_cls_loss: 0.733187, rpn_dir_loss: 0.138550, loss_cls: 1.790281, loss: 4.964849
epoch[1][80/1856]: lr: 0.000300, aux_loss_cls: 0.079237, aux_loss_reg: 0.491216, rpn_loc_loss: 1.643708, rpn_cls_loss: 0.674378, rpn_dir_loss: 0.140326, loss_cls: 1.293847, loss: 4.322713
epoch[1][100/1856]: lr: 0.000300, aux_loss_cls: 0.076938, aux_loss_reg: 0.450901, rpn_loc_loss: 1.410033, rpn_cls_loss: 0.622918, rpn_dir_loss: 0.142257, loss_cls: 0.787054, loss: 3.490100
epoch[1][120/1856]: lr: 0.000300, aux_loss_cls: 0.072773, aux_loss_reg: 0.428855, rpn_loc_loss: 1.340096, rpn_cls_loss: 0.608279, rpn_dir_loss: 0.139161, loss_cls: 0.568717, loss: 3.157881
epoch[1][140/1856]: lr: 0.000300, aux_loss_cls: 0.068413, aux_loss_reg: 0.408842, rpn_loc_loss: 1.317642, rpn_cls_loss: 0.601285, rpn_dir_loss: 0.138617, loss_cls: 0.499891, loss: 3.034690
epoch[1][160/1856]: lr: 0.000300, aux_loss_cls: 0.065073, aux_loss_reg: 0.391836, rpn_loc_loss: 1.222378, rpn_cls_loss: 0.591385, rpn_dir_loss: 0.134750, loss_cls: 0.492713, loss: 2.898133
epoch[1][180/1856]: lr: 0.000300, aux_loss_cls: 0.060084, aux_loss_reg: 0.403120, rpn_loc_loss: 1.151984, rpn_cls_loss: 0.547093, rpn_dir_loss: 0.138137, loss_cls: 0.331448, loss: 2.631866
epoch[1][200/1856]: lr: 0.000300, aux_loss_cls: 0.054356, aux_loss_reg: 0.343701, rpn_loc_loss: 1.163430, rpn_cls_loss: 0.541847, rpn_dir_loss: 0.136846, loss_cls: 0.377717, loss: 2.617898
epoch[1][220/1856]: lr: 0.000300, aux_loss_cls: 0.053564, aux_loss_reg: 0.394925, rpn_loc_loss: 1.178006, rpn_cls_loss: 0.536825, rpn_dir_loss: 0.137295, loss_cls: 0.271312, loss: 2.571926
epoch[1][240/1856]: lr: 0.000300, aux_loss_cls: 0.050273, aux_loss_reg: 0.370482, rpn_loc_loss: 1.081399, rpn_cls_loss: 0.511244, rpn_dir_loss: 0.138125, loss_cls: 0.282487, loss: 2.434010
epoch[1][260/1856]: lr: 0.000300, aux_loss_cls: 0.047271, aux_loss_reg: 0.334765, rpn_loc_loss: 1.051651, rpn_cls_loss: 0.505606, rpn_dir_loss: 0.136130, loss_cls: 0.281075, loss: 2.356498
epoch[1][280/1856]: lr: 0.000300, aux_loss_cls: 0.045962, aux_loss_reg: 0.347722, rpn_loc_loss: 1.058520, rpn_cls_loss: 0.485512, rpn_dir_loss: 0.137246, loss_cls: 0.255446, loss: 2.330407
epoch[1][300/1856]: lr: 0.000300, aux_loss_cls: 0.050436, aux_loss_reg: 0.336600, rpn_loc_loss: 1.050329, rpn_cls_loss: 0.473810, rpn_dir_loss: 0.134010, loss_cls: 0.265187, loss: 2.310373
epoch[1][320/1856]: lr: 0.000300, aux_loss_cls: 0.048410, aux_loss_reg: 0.321187, rpn_loc_loss: 0.981162, rpn_cls_loss: 0.463768, rpn_dir_loss: 0.135534, loss_cls: 0.261344, loss: 2.211403
epoch[1][340/1856]: lr: 0.000300, aux_loss_cls: 0.044307, aux_loss_reg: 0.286584, rpn_loc_loss: 0.944228, rpn_cls_loss: 0.456017, rpn_dir_loss: 0.135199, loss_cls: 0.250445, loss: 2.116780
epoch[1][360/1856]: lr: 0.000300, aux_loss_cls: 0.042610, aux_loss_reg: 0.305411, rpn_loc_loss: 0.966235, rpn_cls_loss: 0.440878, rpn_dir_loss: 0.135852, loss_cls: 0.245893, loss: 2.136880
epoch[1][380/1856]: lr: 0.000300, aux_loss_cls: 0.045435, aux_loss_reg: 0.284194, rpn_loc_loss: 0.910007, rpn_cls_loss: 0.441264, rpn_dir_loss: 0.135654, loss_cls: 0.240835, loss: 2.057390
epoch[1][400/1856]: lr: 0.000300, aux_loss_cls: 0.047142, aux_loss_reg: 0.289892, rpn_loc_loss: 0.914583, rpn_cls_loss: 0.424571, rpn_dir_loss: 0.133269, loss_cls: 0.232718, loss: 2.042175
epoch[1][420/1856]: lr: 0.000300, aux_loss_cls: 0.044138, aux_loss_reg: 0.269442, rpn_loc_loss: 0.960219, rpn_cls_loss: 0.428097, rpn_dir_loss: 0.134837, loss_cls: 0.232578, loss: 2.069311
epoch[1][440/1856]: lr: 0.000300, aux_loss_cls: 0.040794, aux_loss_reg: 0.289953, rpn_loc_loss: 0.947709, rpn_cls_loss: 0.401328, rpn_dir_loss: 0.137206, loss_cls: 0.228043, loss: 2.045032
epoch[1][460/1856]: lr: 0.000300, aux_loss_cls: 0.040634, aux_loss_reg: 0.276326, rpn_loc_loss: 0.945888, rpn_cls_loss: 0.408010, rpn_dir_loss: 0.135808, loss_cls: 0.234930, loss: 2.041597
epoch[1][480/1856]: lr: 0.000300, aux_loss_cls: 0.042251, aux_loss_reg: 0.273360, rpn_loc_loss: 0.953643, rpn_cls_loss: 0.399799, rpn_dir_loss: 0.131763, loss_cls: 0.225351, loss: 2.026167
epoch[1][500/1856]: lr: 0.000300, aux_loss_cls: 0.040657, aux_loss_reg: 0.285407, rpn_loc_loss: 0.892228, rpn_cls_loss: 0.397495, rpn_dir_loss: 0.133412, loss_cls: 0.221229, loss: 1.970427
epoch[1][520/1856]: lr: 0.000301, aux_loss_cls: 0.037636, aux_loss_reg: 0.259969, rpn_loc_loss: 0.865802, rpn_cls_loss: 0.369871, rpn_dir_loss: 0.135252, loss_cls: 0.208160, loss: 1.876691
