Distributed training: False
Set random seed to 0
**********************Start training**********************
epoch[1][20/1856]: lr: 0.000300, aux_loss_cls: 0.167797, aux_loss_reg: 0.769287, rpn_loc_loss: 4.810116, rpn_cls_loss: 30.417111, rpn_dir_loss: 0.150121, loss_cls: 39.021801, loss: 75.336233
epoch[1][40/1856]: lr: 0.000300, aux_loss_cls: 0.100916, aux_loss_reg: 0.685719, rpn_loc_loss: 1.906843, rpn_cls_loss: 1.010346, rpn_dir_loss: 0.142182, loss_cls: 7.213052, loss: 11.059057
epoch[1][60/1856]: lr: 0.000300, aux_loss_cls: 0.077015, aux_loss_reg: 0.557534, rpn_loc_loss: 1.692672, rpn_cls_loss: 0.709723, rpn_dir_loss: 0.139484, loss_cls: 1.711098, loss: 4.887526
epoch[1][80/1856]: lr: 0.000300, aux_loss_cls: 0.076993, aux_loss_reg: 0.516561, rpn_loc_loss: 1.634046, rpn_cls_loss: 0.678500, rpn_dir_loss: 0.141675, loss_cls: 1.015923, loss: 4.063699
epoch[1][100/1856]: lr: 0.000300, aux_loss_cls: 0.075316, aux_loss_reg: 0.460115, rpn_loc_loss: 1.407464, rpn_cls_loss: 0.638335, rpn_dir_loss: 0.143000, loss_cls: 0.620153, loss: 3.344382
epoch[1][120/1856]: lr: 0.000300, aux_loss_cls: 0.070531, aux_loss_reg: 0.441450, rpn_loc_loss: 1.409851, rpn_cls_loss: 0.621955, rpn_dir_loss: 0.140310, loss_cls: 0.728024, loss: 3.412120
epoch[1][140/1856]: lr: 0.000300, aux_loss_cls: 0.071588, aux_loss_reg: 0.453666, rpn_loc_loss: 1.397247, rpn_cls_loss: 0.643586, rpn_dir_loss: 0.140782, loss_cls: 0.512980, loss: 3.219849
epoch[1][160/1856]: lr: 0.000300, aux_loss_cls: 0.070053, aux_loss_reg: 0.433836, rpn_loc_loss: 1.321074, rpn_cls_loss: 0.598412, rpn_dir_loss: 0.136720, loss_cls: 0.449796, loss: 3.009892
epoch[1][180/1856]: lr: 0.000300, aux_loss_cls: 0.067026, aux_loss_reg: 0.421471, rpn_loc_loss: 1.188839, rpn_cls_loss: 0.553313, rpn_dir_loss: 0.137996, loss_cls: 0.349768, loss: 2.718414
epoch[1][200/1856]: lr: 0.000300, aux_loss_cls: 0.061738, aux_loss_reg: 0.362619, rpn_loc_loss: 1.166304, rpn_cls_loss: 0.566843, rpn_dir_loss: 0.137946, loss_cls: 0.390088, loss: 2.685537
epoch[1][220/1856]: lr: 0.000300, aux_loss_cls: 0.058258, aux_loss_reg: 0.426956, rpn_loc_loss: 1.186151, rpn_cls_loss: 0.558809, rpn_dir_loss: 0.138118, loss_cls: 0.293300, loss: 2.661591
epoch[1][240/1856]: lr: 0.000300, aux_loss_cls: 0.053286, aux_loss_reg: 0.407449, rpn_loc_loss: 1.094949, rpn_cls_loss: 0.528397, rpn_dir_loss: 0.137996, loss_cls: 0.292625, loss: 2.514702
epoch[1][260/1856]: lr: 0.000300, aux_loss_cls: 0.050900, aux_loss_reg: 0.352618, rpn_loc_loss: 1.067581, rpn_cls_loss: 0.522552, rpn_dir_loss: 0.136695, loss_cls: 0.269956, loss: 2.400302
epoch[1][280/1856]: lr: 0.000300, aux_loss_cls: 0.053263, aux_loss_reg: 0.360775, rpn_loc_loss: 1.044566, rpn_cls_loss: 0.500006, rpn_dir_loss: 0.137835, loss_cls: 0.254150, loss: 2.350595
epoch[1][300/1856]: lr: 0.000300, aux_loss_cls: 0.053648, aux_loss_reg: 0.341178, rpn_loc_loss: 1.058749, rpn_cls_loss: 0.488328, rpn_dir_loss: 0.135947, loss_cls: 0.263699, loss: 2.341549
epoch[1][320/1856]: lr: 0.000300, aux_loss_cls: 0.050819, aux_loss_reg: 0.336962, rpn_loc_loss: 0.976753, rpn_cls_loss: 0.481390, rpn_dir_loss: 0.136306, loss_cls: 0.254791, loss: 2.237020
epoch[1][340/1856]: lr: 0.000300, aux_loss_cls: 0.045328, aux_loss_reg: 0.319203, rpn_loc_loss: 0.953509, rpn_cls_loss: 0.470062, rpn_dir_loss: 0.135186, loss_cls: 0.250529, loss: 2.173818
epoch[1][360/1856]: lr: 0.000300, aux_loss_cls: 0.043869, aux_loss_reg: 0.320892, rpn_loc_loss: 0.979129, rpn_cls_loss: 0.454114, rpn_dir_loss: 0.136389, loss_cls: 0.245426, loss: 2.179820
epoch[1][380/1856]: lr: 0.000300, aux_loss_cls: 0.044647, aux_loss_reg: 0.296841, rpn_loc_loss: 0.916536, rpn_cls_loss: 0.453043, rpn_dir_loss: 0.136907, loss_cls: 0.254429, loss: 2.102403
epoch[1][400/1856]: lr: 0.000300, aux_loss_cls: 0.048861, aux_loss_reg: 0.304875, rpn_loc_loss: 0.946519, rpn_cls_loss: 0.434370, rpn_dir_loss: 0.135057, loss_cls: 0.236942, loss: 2.106623
epoch[1][420/1856]: lr: 0.000300, aux_loss_cls: 0.046529, aux_loss_reg: 0.290104, rpn_loc_loss: 0.944234, rpn_cls_loss: 0.437427, rpn_dir_loss: 0.135139, loss_cls: 0.239989, loss: 2.093422
epoch[1][440/1856]: lr: 0.000300, aux_loss_cls: 0.043236, aux_loss_reg: 0.314997, rpn_loc_loss: 0.960668, rpn_cls_loss: 0.411207, rpn_dir_loss: 0.138247, loss_cls: 0.234489, loss: 2.102845
epoch[1][460/1856]: lr: 0.000300, aux_loss_cls: 0.042045, aux_loss_reg: 0.292747, rpn_loc_loss: 0.954663, rpn_cls_loss: 0.407257, rpn_dir_loss: 0.136989, loss_cls: 0.239196, loss: 2.072896
epoch[1][480/1856]: lr: 0.000300, aux_loss_cls: 0.042827, aux_loss_reg: 0.285948, rpn_loc_loss: 0.946805, rpn_cls_loss: 0.402839, rpn_dir_loss: 0.131946, loss_cls: 0.226688, loss: 2.037053
epoch[1][500/1856]: lr: 0.000300, aux_loss_cls: 0.042575, aux_loss_reg: 0.303132, rpn_loc_loss: 0.915085, rpn_cls_loss: 0.400782, rpn_dir_loss: 0.134312, loss_cls: 0.220316, loss: 2.016202
epoch[1][520/1856]: lr: 0.000301, aux_loss_cls: 0.037548, aux_loss_reg: 0.273733, rpn_loc_loss: 0.863095, rpn_cls_loss: 0.379259, rpn_dir_loss: 0.135076, loss_cls: 0.211927, loss: 1.900639
epoch[1][540/1856]: lr: 0.000301, aux_loss_cls: 0.039279, aux_loss_reg: 0.279554, rpn_loc_loss: 0.860077, rpn_cls_loss: 0.369531, rpn_dir_loss: 0.132221, loss_cls: 0.216484, loss: 1.897145
epoch[1][560/1856]: lr: 0.000301, aux_loss_cls: 0.037449, aux_loss_reg: 0.253844, rpn_loc_loss: 0.873574, rpn_cls_loss: 0.357759, rpn_dir_loss: 0.134976, loss_cls: 0.203195, loss: 1.860797
epoch[1][580/1856]: lr: 0.000301, aux_loss_cls: 0.040307, aux_loss_reg: 0.270799, rpn_loc_loss: 0.911170, rpn_cls_loss: 0.367005, rpn_dir_loss: 0.133275, loss_cls: 0.211894, loss: 1.934450
epoch[1][600/1856]: lr: 0.000301, aux_loss_cls: 0.042151, aux_loss_reg: 0.278601, rpn_loc_loss: 0.915260, rpn_cls_loss: 0.371613, rpn_dir_loss: 0.135728, loss_cls: 0.204747, loss: 1.948100
epoch[1][620/1856]: lr: 0.000301, aux_loss_cls: 0.034810, aux_loss_reg: 0.252056, rpn_loc_loss: 0.859197, rpn_cls_loss: 0.357658, rpn_dir_loss: 0.132082, loss_cls: 0.207743, loss: 1.843545
epoch[1][640/1856]: lr: 0.000301, aux_loss_cls: 0.039146, aux_loss_reg: 0.251643, rpn_loc_loss: 0.824691, rpn_cls_loss: 0.333463, rpn_dir_loss: 0.135307, loss_cls: 0.200354, loss: 1.784604
epoch[1][660/1856]: lr: 0.000301, aux_loss_cls: 0.037457, aux_loss_reg: 0.268533, rpn_loc_loss: 0.816780, rpn_cls_loss: 0.329555, rpn_dir_loss: 0.133549, loss_cls: 0.199898, loss: 1.785772
epoch[1][680/1856]: lr: 0.000301, aux_loss_cls: 0.036468, aux_loss_reg: 0.244503, rpn_loc_loss: 0.831741, rpn_cls_loss: 0.322294, rpn_dir_loss: 0.133701, loss_cls: 0.200681, loss: 1.769389
epoch[1][700/1856]: lr: 0.000301, aux_loss_cls: 0.034555, aux_loss_reg: 0.225404, rpn_loc_loss: 0.833203, rpn_cls_loss: 0.334969, rpn_dir_loss: 0.132271, loss_cls: 0.195686, loss: 1.756087
epoch[1][720/1856]: lr: 0.000301, aux_loss_cls: 0.035603, aux_loss_reg: 0.237878, rpn_loc_loss: 0.829593, rpn_cls_loss: 0.310414, rpn_dir_loss: 0.133094, loss_cls: 0.195434, loss: 1.742016
epoch[1][740/1856]: lr: 0.000301, aux_loss_cls: 0.032450, aux_loss_reg: 0.236271, rpn_loc_loss: 0.811905, rpn_cls_loss: 0.318506, rpn_dir_loss: 0.132134, loss_cls: 0.186021, loss: 1.717288
epoch[1][760/1856]: lr: 0.000301, aux_loss_cls: 0.032403, aux_loss_reg: 0.230842, rpn_loc_loss: 0.817818, rpn_cls_loss: 0.318662, rpn_dir_loss: 0.130555, loss_cls: 0.188725, loss: 1.719005
epoch[1][780/1856]: lr: 0.000301, aux_loss_cls: 0.031268, aux_loss_reg: 0.235207, rpn_loc_loss: 0.794576, rpn_cls_loss: 0.295923, rpn_dir_loss: 0.133009, loss_cls: 0.187161, loss: 1.677144
epoch[1][800/1856]: lr: 0.000301, aux_loss_cls: 0.032971, aux_loss_reg: 0.222911, rpn_loc_loss: 0.784132, rpn_cls_loss: 0.302461, rpn_dir_loss: 0.131945, loss_cls: 0.185374, loss: 1.659795
epoch[1][820/1856]: lr: 0.000301, aux_loss_cls: 0.031991, aux_loss_reg: 0.227878, rpn_loc_loss: 0.783632, rpn_cls_loss: 0.300348, rpn_dir_loss: 0.131155, loss_cls: 0.184994, loss: 1.659999
epoch[1][840/1856]: lr: 0.000301, aux_loss_cls: 0.029963, aux_loss_reg: 0.226148, rpn_loc_loss: 0.755725, rpn_cls_loss: 0.290810, rpn_dir_loss: 0.128097, loss_cls: 0.176968, loss: 1.607711
epoch[1][860/1856]: lr: 0.000301, aux_loss_cls: 0.033031, aux_loss_reg: 0.232589, rpn_loc_loss: 0.814605, rpn_cls_loss: 0.291392, rpn_dir_loss: 0.128340, loss_cls: 0.185430, loss: 1.685386
epoch[1][880/1856]: lr: 0.000301, aux_loss_cls: 0.029914, aux_loss_reg: 0.226535, rpn_loc_loss: 0.761019, rpn_cls_loss: 0.302601, rpn_dir_loss: 0.130018, loss_cls: 0.172627, loss: 1.622714
epoch[1][900/1856]: lr: 0.000302, aux_loss_cls: 0.036193, aux_loss_reg: 0.239605, rpn_loc_loss: 0.766125, rpn_cls_loss: 0.297964, rpn_dir_loss: 0.125889, loss_cls: 0.171969, loss: 1.637746
epoch[1][920/1856]: lr: 0.000302, aux_loss_cls: 0.035995, aux_loss_reg: 0.238734, rpn_loc_loss: 0.767970, rpn_cls_loss: 0.283334, rpn_dir_loss: 0.126653, loss_cls: 0.162977, loss: 1.615663
epoch[1][940/1856]: lr: 0.000302, aux_loss_cls: 0.026513, aux_loss_reg: 0.226413, rpn_loc_loss: 0.752468, rpn_cls_loss: 0.286020, rpn_dir_loss: 0.129987, loss_cls: 0.179414, loss: 1.600816
epoch[1][960/1856]: lr: 0.000302, aux_loss_cls: 0.030869, aux_loss_reg: 0.222605, rpn_loc_loss: 0.768194, rpn_cls_loss: 0.279340, rpn_dir_loss: 0.128080, loss_cls: 0.166546, loss: 1.595635
epoch[1][980/1856]: lr: 0.000302, aux_loss_cls: 0.028863, aux_loss_reg: 0.198199, rpn_loc_loss: 0.744340, rpn_cls_loss: 0.285964, rpn_dir_loss: 0.126931, loss_cls: 0.163214, loss: 1.547512
epoch[1][1000/1856]: lr: 0.000302, aux_loss_cls: 0.031899, aux_loss_reg: 0.227682, rpn_loc_loss: 0.756797, rpn_cls_loss: 0.284823, rpn_dir_loss: 0.129089, loss_cls: 0.173178, loss: 1.603468
epoch[1][1020/1856]: lr: 0.000302, aux_loss_cls: 0.032508, aux_loss_reg: 0.213944, rpn_loc_loss: 0.759461, rpn_cls_loss: 0.292431, rpn_dir_loss: 0.124361, loss_cls: 0.167269, loss: 1.589974
